InternetService,Contract,PaymentMethod,tenure_DISC,MonthlyCharges_DISC,TotalCharges_DISC,TARGET
DSL,One year,Bank transfer (automatic),Grupo 4,Grupo 3,Grupo 4,Si
Fiber optic,Two year,Electronic check,Grupo 3,Grupo 4,Grupo 4,Si
DSL,Two year,Electronic check,Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 2,Grupo 4,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 4,Grupo 4,Grupo 4,Si
DSL,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 2,Grupo 3,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 4,No
No,One year,Mailed check,Grupo 4,Grupo 1,Grupo 2,No
No,One year,Credit card (automatic),Grupo 3,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 1,Si
No,Two year,Bank transfer (automatic),Grupo 4,Grupo 1,Grupo 2,No
DSL,Month-to-month,Electronic check,Grupo 2,Grupo 2,Grupo 2,No
Fiber optic,One year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
DSL,Two year,Credit card (automatic),Grupo 3,Grupo 2,Grupo 3,No
DSL,One year,Mailed check,Grupo 1,Grupo 2,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 1,Si
DSL,Month-to-month,Electronic check,Grupo 2,Grupo 2,Grupo 2,Si
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 2,Si
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 2,No
Fiber optic,Two year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
DSL,Month-to-month,Credit card (automatic),Grupo 2,Grupo 1,Grupo 2,Si
Fiber optic,One year,Electronic check,Grupo 3,Grupo 4,Grupo 4,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 3,Grupo 4,Grupo 4,No
DSL,One year,Credit card (automatic),Grupo 4,Grupo 2,Grupo 3,No
No,Two year,Mailed check,Grupo 3,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 4,Grupo 2,Si
DSL,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 2,Grupo 3,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Two year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
No,One year,Mailed check,Grupo 2,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
DSL,Two year,Mailed check,Grupo 2,Grupo 2,Grupo 2,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 3,Grupo 4,Grupo 3,No
DSL,One year,Credit card (automatic),Grupo 3,Grupo 3,Grupo 3,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 4,Grupo 3,Si
DSL,Two year,Electronic check,Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,One year,Electronic check,Grupo 1,Grupo 3,Grupo 3,No
Fiber optic,One year,Bank transfer (automatic),Grupo 3,Grupo 3,Grupo 3,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 1,Si
DSL,Two year,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 4,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 1,Grupo 4,Grupo 1,Si
Fiber optic,Two year,Bank transfer (automatic),Grupo 3,Grupo 4,Grupo 4,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 4,Grupo 3,Grupo 4,Si
DSL,One year,Electronic check,Grupo 3,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Mailed check,Grupo 3,Grupo 4,Grupo 4,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 4,Grupo 3,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 3,Grupo 3,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,No
No,Month-to-month,Mailed check,Grupo 2,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 3,Grupo 4,Grupo 4,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 4,Grupo 3,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 2,Grupo 3,Grupo 3,Si
DSL,Month-to-month,Electronic check,Grupo 2,Grupo 2,Grupo 3,No
No,One year,Mailed check,Grupo 2,Grupo 1,Grupo 2,No
No,One year,Bank transfer (automatic),Grupo 2,Grupo 1,Grupo 2,No
No,One year,Credit card (automatic),Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,Si
DSL,One year,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 4,No
No,Two year,Mailed check,Grupo 2,Grupo 1,Grupo 2,No
No,Two year,Credit card (automatic),Grupo 4,Grupo 1,Grupo 3,No
Fiber optic,One year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Mailed check,Grupo 2,Grupo 4,Grupo 3,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,Si
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
No,One year,Bank transfer (automatic),Grupo 3,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 3,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 3,Grupo 3,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
No,Two year,Mailed check,Grupo 3,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,Si
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 1,Si
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 2,Grupo 2,No
Fiber optic,One year,Credit card (automatic),Grupo 2,Grupo 4,Grupo 3,No
No,One year,Mailed check,Grupo 3,Grupo 1,Grupo 2,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 2,Grupo 2,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 3,No
Fiber optic,One year,Bank transfer (automatic),Grupo 3,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 2,No
DSL,One year,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 4,No
No,Month-to-month,Mailed check,Grupo 4,Grupo 1,Grupo 2,Si
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 2,Grupo 4,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 2,Grupo 2,Si
No,Two year,Electronic check,Grupo 3,Grupo 1,Grupo 2,No
DSL,Month-to-month,Credit card (automatic),Grupo 2,Grupo 2,Grupo 2,No
No,One year,Bank transfer (automatic),Grupo 2,Grupo 1,Grupo 2,No
Fiber optic,Two year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 3,Grupo 3,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 3,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 3,Grupo 4,Grupo 4,No
Fiber optic,One year,Mailed check,Grupo 3,Grupo 4,Grupo 4,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 4,Grupo 4,Grupo 4,Si
Fiber optic,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 1,Si
No,Two year,Bank transfer (automatic),Grupo 3,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 2,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
No,One year,Mailed check,Grupo 4,Grupo 1,Grupo 3,No
DSL,Month-to-month,Mailed check,Grupo 2,Grupo 2,Grupo 3,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,Si
No,Two year,Mailed check,Grupo 4,Grupo 1,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,No
Fiber optic,One year,Bank transfer (automatic),Grupo 2,Grupo 4,Grupo 3,No
DSL,Two year,Bank transfer (automatic),Grupo 2,Grupo 3,Grupo 3,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 2,Si
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
DSL,Two year,Mailed check,Grupo 4,Grupo 2,Grupo 3,No
Fiber optic,Two year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,One year,Electronic check,Grupo 4,Grupo 3,Grupo 4,No
No,Two year,Mailed check,Grupo 3,Grupo 1,Grupo 2,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 2,Si
No,One year,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,Si
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 2,No
DSL,Month-to-month,Mailed check,Grupo 2,Grupo 2,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,Si
DSL,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 2,Si
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 2,Grupo 2,Si
No,Two year,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 2,Grupo 3,Si
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,No
Fiber optic,One year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,Si
Fiber optic,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 3,No
DSL,Two year,Bank transfer (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
DSL,One year,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 4,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
DSL,One year,Bank transfer (automatic),Grupo 2,Grupo 2,Grupo 2,Si
DSL,Month-to-month,Mailed check,Grupo 2,Grupo 2,Grupo 3,No
No,Two year,Bank transfer (automatic),Grupo 4,Grupo 1,Grupo 3,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 1,Grupo 1,Si
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 4,Grupo 2,Si
Fiber optic,One year,Credit card (automatic),Grupo 2,Grupo 4,Grupo 4,No
Fiber optic,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
DSL,One year,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 3,Grupo 4,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,Si
Fiber optic,Month-to-month,Mailed check,Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 4,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,Si
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,One year,Credit card (automatic),Grupo 2,Grupo 4,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 2,Grupo 4,Grupo 3,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 4,Grupo 4,Si
DSL,One year,Mailed check,Grupo 2,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 3,Grupo 3,Si
No,Month-to-month,Credit card (automatic),Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,One year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
DSL,Month-to-month,Electronic check,Grupo 2,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 3,Grupo 3,Si
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,Si
Fiber optic,One year,Electronic check,Grupo 3,Grupo 4,Grupo 4,No
Fiber optic,Two year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
No,Two year,Mailed check,Grupo 2,Grupo 1,Grupo 2,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
No,Two year,Credit card (automatic),Grupo 2,Grupo 1,Grupo 2,No
No,Two year,Credit card (automatic),Grupo 4,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 3,Grupo 4,No
DSL,One year,Mailed check,Grupo 2,Grupo 2,Grupo 3,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
DSL,Two year,Bank transfer (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 2,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 2,Si
DSL,Month-to-month,Credit card (automatic),Grupo 1,Grupo 2,Grupo 2,Si
Fiber optic,One year,Bank transfer (automatic),Grupo 2,Grupo 3,Grupo 3,No
Fiber optic,Month-to-month,Mailed check,Grupo 3,Grupo 3,Grupo 3,Si
Fiber optic,One year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,One year,Bank transfer (automatic),Grupo 3,Grupo 4,Grupo 4,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
No,Two year,Bank transfer (automatic),Grupo 4,Grupo 1,Grupo 2,No
No,Two year,Credit card (automatic),Grupo 2,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 2,Grupo 3,Grupo 3,Si
DSL,One year,Bank transfer (automatic),Grupo 4,Grupo 2,Grupo 4,No
No,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 1,Grupo 1,No
DSL,One year,Mailed check,Grupo 3,Grupo 3,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 2,No
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,No
Fiber optic,One year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
DSL,Month-to-month,Credit card (automatic),Grupo 1,Grupo 2,Grupo 2,No
Fiber optic,Two year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 2,Grupo 2,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,One year,Electronic check,Grupo 1,Grupo 4,Grupo 3,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,Si
DSL,One year,Credit card (automatic),Grupo 1,Grupo 2,Grupo 2,No
No,Two year,Credit card (automatic),Grupo 4,Grupo 1,Grupo 2,No
DSL,Two year,Bank transfer (automatic),Grupo 3,Grupo 2,Grupo 3,No
DSL,One year,Credit card (automatic),Grupo 1,Grupo 2,Grupo 2,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,Si
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,No
DSL,Two year,Mailed check,Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,One year,Bank transfer (automatic),Grupo 2,Grupo 4,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,Si
Fiber optic,Month-to-month,Mailed check,Grupo 1,Grupo 3,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
DSL,Two year,Credit card (automatic),Grupo 3,Grupo 2,Grupo 3,No
No,One year,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Two year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
DSL,Two year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Two year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
No,One year,Electronic check,Grupo 3,Grupo 1,Grupo 2,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 2,Grupo 3,Grupo 3,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 1,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 2,Si
DSL,Two year,Mailed check,Grupo 1,Grupo 2,Grupo 2,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 1,No
Fiber optic,One year,Credit card (automatic),Grupo 3,Grupo 4,Grupo 4,No
No,Two year,Credit card (automatic),Grupo 4,Grupo 1,Grupo 3,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 1,Grupo 3,Grupo 2,No
No,One year,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,One year,Bank transfer (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Two year,Electronic check,Grupo 3,Grupo 4,Grupo 4,No
Fiber optic,One year,Bank transfer (automatic),Grupo 2,Grupo 4,Grupo 3,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
DSL,Two year,Credit card (automatic),Grupo 3,Grupo 3,Grupo 3,No
DSL,One year,Credit card (automatic),Grupo 3,Grupo 2,Grupo 3,No
Fiber optic,Two year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,Si
DSL,Month-to-month,Electronic check,Grupo 1,Grupo 1,Grupo 1,Si
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 2,Si
No,Two year,Mailed check,Grupo 4,Grupo 1,Grupo 2,No
Fiber optic,One year,Credit card (automatic),Grupo 3,Grupo 4,Grupo 4,No
DSL,Two year,Bank transfer (automatic),Grupo 3,Grupo 2,Grupo 3,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 2,No
DSL,Month-to-month,Credit card (automatic),Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 3,Grupo 2,No
DSL,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,One year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,One year,Electronic check,Grupo 3,Grupo 3,Grupo 3,No
No,Two year,Mailed check,Grupo 2,Grupo 1,Grupo 2,No
No,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 1,Grupo 1,Si
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 3,Grupo 3,No
Fiber optic,One year,Credit card (automatic),Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Two year,Electronic check,Grupo 4,Grupo 4,Grupo 4,No
Fiber optic,Month-to-month,Credit card (automatic),Grupo 3,Grupo 4,Grupo 4,Si
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 4,Grupo 4,Si
DSL,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 2,Grupo 3,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
No,One year,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
DSL,One year,Bank transfer (automatic),Grupo 3,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 4,Grupo 4,Grupo 4,Si
Fiber optic,Two year,Bank transfer (automatic),Grupo 2,Grupo 4,Grupo 3,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
Fiber optic,One year,Bank transfer (automatic),Grupo 4,Grupo 4,Grupo 4,Si
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 2,Si
No,Two year,Bank transfer (automatic),Grupo 4,Grupo 1,Grupo 3,No
DSL,Month-to-month,Electronic check,Grupo 3,Grupo 2,Grupo 3,Si
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
Fiber optic,One year,Bank transfer (automatic),Grupo 3,Grupo 3,Grupo 4,No
No,Month-to-month,Electronic check,Grupo 1,Grupo 1,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 2,Grupo 4,Grupo 3,Si
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 1,Si
DSL,One year,Electronic check,Grupo 3,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 3,Grupo 1,Si
Fiber optic,Month-to-month,Credit card (automatic),Grupo 2,Grupo 2,Grupo 3,No
Fiber optic,Month-to-month,Bank transfer (automatic),Grupo 1,Grupo 2,Grupo 1,Si
Fiber optic,Month-to-month,Mailed check,Grupo 1,Grupo 3,Grupo 1,Si
No,Two year,Mailed check,Grupo 2,Grupo 1,Grupo 2,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 2,No
No,Month-to-month,Electronic check,Grupo 1,Grupo 1,Grupo 1,Si
Fiber optic,Month-to-month,Credit card (automatic),Grupo 1,Grupo 4,Grupo 2,No
DSL,Two year,Credit card (automatic),Grupo 4,Grupo 3,Grupo 4,No
DSL,One year,Bank transfer (automatic),Grupo 3,Grupo 3,Grupo 3,No
No,One year,Mailed check,Grupo 1,Grupo 1,Grupo 1,Si
No,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 1,Grupo 2,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,Si
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 2,No
No,Month-to-month,Mailed check,Grupo 1,Grupo 1,Grupo 1,No
DSL,Two year,Mailed check,Grupo 4,Grupo 2,Grupo 4,No
No,Two year,Bank transfer (automatic),Grupo 4,Grupo 1,Grupo 2,No
Fiber optic,Month-to-month,Mailed check,Grupo 1,Grupo 3,Grupo 1,No
Fiber optic,Month-to-month,Electronic check,Grupo 1,Grupo 2,Grupo 1,Si
DSL,Month-to-month,Bank transfer (automatic),Grupo 3,Grupo 1,Grupo 3,No
DSL,Month-to-month,Mailed check,Grupo 1,Grupo 2,Grupo 1,Si
